player,strengths,weaknesses,h,w,p,school,c,draft_class
Pascal Siakam,": A high energy four with great length (7-foot-3 wingspan) and solid all around skill set … Had a highly productive season at New Mexico State putting up 20 and 11.6 as a sophomore … Shows tremendous defensive ability, utilizing his huge wingspan and quickness … Very fast in the open floor and will outwork his opponent, hustling down the floor on every possession … On top of being a high level run jump athlete, shows great lateral speed … Was very effective guarding both on the perimeter and in the post … Can legitimately stay in front of guards out on the perimeter, which is unuaual for a 6-9 forward … Does a good job of staying down and not biting on fakes. Blocks a lot of shots without even leaving his feet, utilizing strong fundamentals by not reaching and putting his arms stright up … Gives great focus and energy on the defnsive end and causes havoc for offensive schemes with his great length … A high level rebounder who goes hard for every ball and utilizes his big hands and long arms to secure rebounds in and out of his area. At 11.6 rpg, was 8th overall in the country in rebounding … Offensive game has shown solid improvement. He’s comfortable creating shots on the block and has an effective hook shot … Shows the ability to attack the basket and good ball handling ability … Shooting efficiency is solid as he hit over 70% from the line in college (76% as a FR and 68% as a SO) and did a solid job of getting to the line (5.9 FT attempts per game) … His 44% on shots from the perimeter (where 60% of his looks came from), while not tremendous, is also not bad and shows that his game is not solely predicated on getting to the rim as is the case with some 4s … Figures to be an energy four giving defense and rebounding while his offensive polish develops …  ",": Playing in a mid-major, it will be tougher to convince teams that his numbers were legitimate and not enhanced by the level of competition … Turned 22 in January so there is some question about his upside, though his overall skill set and feel for the game is solid … His offensive game is a little unorthodox … At times his post skills can be too predictable as he often likes to go over his left shoulder on the block … Should look to develop a few go to moves and improve upon his footwork … Needs to add some upper body strength, though he has good strength (226.6 lbs) considering his weight and plays through contact well … While he has solid form and touch on his shot, he could stand to adjust his form some as he tends to shoot with his right elbow out and leans into shots … Not an elite level leaper, though solid … Could be a little more aggressive in attacking the rim for dunks … Not a rim protector or a big shot blocker (2.2 per game) considering his length, but could become better if he develops his technique and timing … ",6-9,230,PF,New Mexico St.,So.,2016
Isaiah Cousins,": Already an intriguing prospect, Cousins has shown even more versatility as a senior since sliding over to the point guard position for Oklahoma … Despite not playing the point since high school, Cousins has shown a good grasp of running a pick and roll, as well as setting up one of the premier scorers in the country … He’s dishing out a career high 4.6 assists and doing so with a 2.0 assist to turnover ratio … His A/TO ratio actually increased dramatically since transitioning from an off ball player … In Lon Kruger’s high tempo offense, he’s grown used to pushing the ball, which will suit him better in the NBA than many slower paced college offenses … He’s shown the ability to get into the lane and make good decisions whether it’s finishing with a floater, getting to the hoop, or kicking it out to a teammate on the perimeter … Cousins has a good fundamental understanding of how to run an offense, and is versatile enough to be perceived as a threat off the drive and on the perimeter … Speaking of the perimeter, Isaiah is also a very capable long range shooter who’s hit 125-260 thee pointers in his junior and senior seasons in Norman combined (43%). That kind of volume and consistency will serve him well at the next level … As an NBA combo guard, who will most likely line up at the PG spot, Isaiah has a 6’5.5’’ wingspan and sizes up at 6’3’’ in shoes … While quite undersized for a two, his senior year showcasing his skills at the point has opened up more possibilities for him at the next level … For an NBA point guard he’s slightly above average in terms of size … This also allows him to rebound well for a player of his stature (4.6 per game). ",": Isaiah can sometimes struggle in terms of shot selection, especially when creating for himself off the dribble … Going into Oklahoma’s Final 4 matchup versus Villanova, Cousins is shooting just .413% from the field, which is actually below his 3 point clip … A shaky shot selection, and tendencies to over penetrate and take a bad shot over length are a part of this issue … He’s also a surprisingly sub par free throw shooter (67%) … While a pretty well built 195 pounds, he could stand to gain some more strength to adapt defensively in the NBA … He has the size, and athletic ability to guard the point guard position, but continued work in the weight room will be a must …  ",6-4,190,PG/SG,Oklahoma,Sr.,2016
Joel Bolomboy,": Long, athletic post player who runs the floor well and shows promise as a shooter … Possesses a 7’1.75 wingspan … A bigtime rebounder. 12.7 per game was good for 3rd in the country. Also proved himself as a high level rebounder throughout college career … Loves to face the basket from mid-range and use his nice shooting form and touch … Has three point range and solid efficiency. Shot 36% from 3 in consecutive years, although on a low volume (36 of 96 overall in college career) … Had a number of highlight dropstep dunks over his right shoulder in which he spun into the paint and dunked over his (surprised) defender … Explosive leaper … Seems to have a very strong body and appears bigger than his measured 225 lbs (from the combine) … Has a developed hook shot that he hits with solid consistency … Shows a solid motor and aggressiveness, doesn’t shy away from contact … His jumpshot should allow him to be a solid pick and pop player … Showed steady improvement each year as an offensive focal point (7 ppg as a FR, 8.7 as a SO, 13.3 as a JR and 17.1 as a SR) … Shot over 70% FT over his college career … Strong finisher at the rim … Does a good job of attacking the basket and drawing fouls, 67.7 % FT/FG percentage … ",": A little bit limited offensively. His post efficiency numbers are solid, but the level of competition wasn’t great and he doesn’t show a whole lot of variety on the block. Could stand to add a few go to post moves, aside from his hook … Body appears a little bit rigid. Plays very up right, particularly on the defensive end … Turned 22 in January so upside isn’t considered as intriguing as underclassmen … Has a very solid frame for a 225 lb player, but could stand to add some weight … Not much of a shot blocker or rim protector, considering his length and athleticism … Could further develop his ball handling skills to compliment his midrange shot …  ",6-9,225,PF,Weber St.,Sr.,2016
Michael Gbinije,": Good, but not great, athleticism with three-and-D potential at the next level  … Physical player with great size at 6-foot-7, 205 pounds … Garnered valuable experience playing the point as Syracuse’s primary ball-handler last season (although he’ll play more off the ball professionally) … Also has experience playing the shooting guard and small forward positions … Dynamic playmaker … Fundamentally sound … Has fluidity to his game … Steadily contributes in numerous aspects of a game … Is versatile in his ability pass and handle the ball … Overall, he’s an effective shooter … Displays good shot selection … Has shown growth in his three-point shooting and is able to keep defenses honest … Shot 39 percent from beyond the arc last season … Solid shooter off the dribble and off the catch … Showed great progress in being able to finish at the rim … Shoots close to 60 percent from inside … Has a solid pull-up jumper … At times, he’ll show that he can make athletic plays around the rim … Capable of finishing at the basket with force … Takes advantage of mismatches off the dribble … Is able to attack closeouts and turn corners effectively thanks to his solid first step … Is aggressive in attacking the basket in transition … Improved his ball-handling, especially against pressure … Can get to his spots on the floor and is capable of changing speed off the bounce … Solid basketball IQ … He’ll often make the right play by moving the ball well and making the extra pass on the perimeter … Shows good court vision and a strong feel for the game … Sets up his teammates consistently … Knows when to feed the post, deliver lob passes and make drop off passes on his drives to the basket … Can make the simple play in screen and roll situations … Plays with an unselfish approach … Decision-making has improved tremendously since the beginning of his collegiate career … Takes what the defense gives him instead of forcing the issue … Capable one-on-one on-ball defender … Has good anticipation playing the passing lanes … His size is an advantage on the defensive end … Moves well laterally … Has experience playing on big stage …  ",": Does a lot of things well but isn’t exceptional in one particularly area of his game … Wingspan is short compared to his height (6’7.5"" wingpsan, 6’5.5"" barefoot)… Although he’s athletic, he’s not overly explosive or quick … Can improve on his free-throw shooting (shot just 66 percent last season) … His age might affect his draft stock as he will turn 24 in June … Needs to work on consistency with his ball-handling, especially with his left hand … Was a bit turnover prone last season … Didn’t prove to be too consistent at creating shots for his teammates off the dribble … Sometimes get caught leaving his feet without knowing if he wants to pass or shoot … Doesn’t attack the rim with much quickness or aggression … Finishing through contact and exploding to the rim are two things he needs to work on … The mechanics on his shot still need some work … Not much fluidity in his shooting mechanics as it’s rather stiff … As a result, when he misses, he misses badly … Tends to play as if he has a green light to shoot at times…Solid on the defensive end, but needs to work on his positioning as a help defender … Doesn’t shoot the ball well from the corners…His length and strength limitations may keep him from being an elite defender…Lack strength when defending down low … Lack of quickness allows him to get beat off the dribble … Questions of whether he can adjust to playing man-to-man full-time after playing at the top of Syracuse’s 2-3 zone …  ",6-7,205,SG/SF,Syracuse,Sr.,2016
Isaiah Whitehead,": NBA-ready body frame … Has the size and strength to play either guard position in the NBA at 6-foot-4, 210-pounds with a 6′ 8.75” wingspan … Finished in the top-10 in almost every category at the NBA combine’s athletic testing … Versatile combo-guard at the college level … Good court vision in the half court … Above-average/underrated passer and capable of creating for teammates … Showed solid instincts distributing the ball off the dribble and out of the pick-and-roll … Ball-handling skills have improved … Impressive scoring instincts … Has shown flashes of being able to operate out of pick-and-roll situations … Does a good job of utilizing screens … Shows a nice combination of quickness (has a quick first step) and body control when in attack mode … Attacking guard who has the ability to finish at the basket through contact … Is strong with the ball on straight line drives … When he does finish, he often does so creatively (knack for acrobatic finishes) … Has a knack for consistently drawing fouls and getting to the line…Can create for himself in space … Thrives in transition because of his aggression when attacking the basket … Capable of knocking down shots from beyond the arc (developing three-point shooter) … Has the ability to knock down quick pull-up jumpers off the dribble … Has a solid step back jumper … A tough defender with potential to good at the next level because he seems to possess good instincts on that end of the floor and has good athleticism … Plays defense with good intensity, a high motor, and great effort…Forces turnovers … Uses his solid physical frame to his advantage (played inside for short stretches) … Hard for players to get by him because of his build and quickness on the perimeter … Known as a player who does a little bit of everything for his team (scores, rebounds, steals, blocks, etc.) … Blocks more shots than most guards because of his height … Plays with a chip on his shoulder … ",": Can he continue to develop as a point guard? … Not overly explosive but he does possess some explosiveness … Struggles with his shot selection … Needs to take more efficient shots … Questionable decision-making leads to an overall lack of offensive efficiency … Seems to play at an extremely high level of intensity in spurts, but not sure he is able to sustain that over an 82 game season … Tries to drive to the rim when there’s too many defenders in the paint … Needs to work on shooting/shot making consistency, especially from the 2-point/mid-range … Mid-range game is a work in progress … Isn’t a good enough three-point shooter to rely on that part of his game … Settles for too many stepback jumpers at times … Has no rhythm on his spot-up/catch-and-shoot jumpers … Shot 38% from the field, including 36 percent from 3-point range last season … His shooting mechanics are inconsistent … Has trouble finishing in the paint and around the basket against length … His questionable decision-making affects him greatly when trying to score in traffic … He’s turnover prone because of his tendency to force bad passes….Often has tunnel vision … Defensively, he’ll need to improve on his lateral quickness … Has room for improvement in his defensive awareness and fundamentals … Lack of length is concerning on the defensive end at the next level … Will he be as versatile at the next level? His size may limit how much he can play at the shooting guard position … Sometimes plays out of control …  ",6-4,210,PG/SG,Seton Hall,So.,2016
Zhou Qi,": Center prospect with great size, length and mobility … Elite help defender and rim protector with great timing, quick feet, mobility, and length … Covers a lot of ground defensively … Will contest shots not only at the rim but even close out and block jump shots … Very calm and smart player with good feel for the game … Rarely forces bad shots as he moves well without the ball finding open gaps … Soft touch around the rim and can finish with both hands … Can consistently hit a mid-range jumper and has developing 3-Point range … Above average and willing passer … Great ball handler for his size and can put the ball on the floor and get to the rim … Overall a two-way player that can contribute on many levels … Has shown improvement to his game since his rookie season in the CBA … Has gained weight during his time training in the USA preparing for draft workouts … All coaches have been said to enjoy working with him and that he shows the desire to get better … Lots of upside and a high ceiling if he can add weight … Has a good feel for the game in relation to most Chinese players …  ",": Lacks overall strength and weight to be effective to hold his own at the next level … Defensive rebounding could be a big problem as he often just stands around and relies on his height and length not boxing out his man, and the jump from CBA to NBA in terms of strength is significant … As a one on one defender has trouble guarding bigger stronger opponents if they get into his body …  Has a tendency to struggle in big games … Lacks mental toughness … Not a leader, very quiet and not vocal on defense … Slow release and has little lift on his jump shot … Has shown talent, but hasn’t dominated the CBA like fellow countrymen Yao or Yi did before they left for the NBA … Listed age is a question mark like many CBA players. Summary: In terms of being an NBA player, Zhou Qi’s defensive abilities should carry over … He is currently not a scoring option on the Xinjiang Flying Tigers, and would also just be a finisher at the rim or spot up shooter in the NBA, but does have offensive skills … Right now obviously his limitations are physical as he will have a lot of trouble with stronger players, although he is not as soft as his thin frame suggests … Overall an interesting player with a lot of upside. ",7-2,215,PF/C,China,Intl.,2016
Gary Payton II,":  Late bloomer with great athletic attributes…  Payton is a jack of all trade player at Oregon State where he can play any position 1 through 4 … He has been a statistical monster on the defensive end: Averaging 3 steals 7.5 rebounds and 1.3 blocks per game as a guard … Payton, like his dad, has his hands on nearly every entry pass, has an uncanny ability to shot block as a guard without fouling, and is a game changer defensive force that opponents must game plan for … On the offensive end Payton has a quick step and takes great angles when driving to the hoop leading to nearly a 50% field goal percentage … Getting to the hole is where he is most dangerous as he is very creative and skillful in absorbing contact and finishing strong to the hole … Explosive athlete at 6”3 he has the ability to catch and finish one handed and two handed alley oops … Payton has good form and rotation on his jump shot and has a developing mid range and long distance game.  While he is an older prospect Paton’s biggest strength is his strong work ethic: his havoc causing intensity on defense and his development over the course of this season is remarkable …  He has made great strides in his development into a lead guard as early on this season he was viewed more as a 2 -3 and has become more into a 1-2 combo guard which would be required at the next level … He is the star player on one of the surprise teams in the NCAAs as Oregon State was thought to be the doormat of the Pac 12 in preseason rankings and will be at worst NIT Bound … ",": As mentioned,  Payton is older than most of his competition at 22 years old having spent a prep season in Arizona limiting his potential upside for most analytics … To complicate things as a late bloomer he has limited experience playing at the elite level.  Furthermore his time spent in Utah Junior college has limited his exposure to scouts and to competition… Thus putting greater risk on an organization to see him perform at a consistent level…He needs to work on his ability to set teammates up and running a team averaging over 2 turnovers per game to only 3 assist per game …  Handles could be honed some in particular his left… His outside shooting is his biggest weakness… While rotation and release is clean on his shot his release speed and arc could use some refining… He has improved his free throw shooting from the JC by 15% but still is only at 67% for the season at Oregon State and is under 30% from 3 point range… ",6-3,185,PG/SG,Oregon St.,Sr.,2016
Isaia Cordinier,": Tremendous athlete with impressive quickness, athleticism and leaping abilities … He shows remarkable balance and body control, excelling in transition and in general in high pace game … He shows solid slashing abilities with effective change of speed and direction, thanks to his excellent footwork … Despite having rather developed scoring instincts he’s definitely not selfish, showing solid passing skills and court vision as well, especially when he creates space with his lighting first step … During these years he has shown also a solid off- the ball game, in P&R situations and with backdoor cuts … His shooting skills are improving, especially the three point shot jumped from 25% to 40% this season … His mechanics is still an ongoing project, but his release is quick and effective … Defensively he has solid lateral quickness and positioning, with a solid understanding of collective defence … He has the potential to become a really solid stealer, thanks to his timing and instincts. Smart kid perfectly integrated in the team and beloved by his teammates … ",": He has a narrow frame and shoulders, weighing only 190 lbs, simply not yet big enough to withstand contact at the NBA level … This is made worse considering his style is based on quickness and slashing abilities to get to the rim … Handle is still a major point of concern, limiting his ability to create off the dribble in ISO situations, when he only relies on his quickness and change of speed … Limited use of left hand … Defensive attitude is not consistent, he lacks necessary determination despite having solid fundamentals and potential … His shot is improving but mechanics needs to become more fluid and also the selection is quite poor … Played all his career in French second division, quite a low level … Over last couple of years he has been forced to the side-lines due to several injuries … Form on his shot not perfect, still in need of refinement … ",6-5,180,SG,France,Intl.,2016
Ben Bentil,": Big bodied forward with aggressive scoring mindset … Plays with a lot of confidence … High volume shooter with range out to college three … Routinely made tough shots at Providence … Has the touch and feel necessary to make plays in the mid range … Strong on the interior, with his frame and demeanor … Lower body strength is tremendous … Offense is solid in all areas including transition where he shows an ability to finish while on the move … Finishes plays at the rim particularly well … Good use of the jab step to create space or get his defender off balance … Made 78.2% of his free throws and got to the line at a decent rate (46.5% FTA/FGA)… Plays well as a spot up shooter and a pick-and-pop big … Does a great job of sealing his defender when he gets position … Passable footwork that allows him to display some counters on his post moves … Uses his strength well to defend in the post … Has big hands which give him added control of the ball … Has developed good touch on his turnaround left hook … Capable of getting hot in quick stretches …  ",": Undersized power forward (6’8""), though has a big (7’1"") wingspan and solid standing reach (8’9"") … A bit robotic in his movements … Lacks athleticism. Not the most fluid player running the floor and doesn’t get great lift … Not a great rebounder (7.7 in 34 minutes per game) … Not a rim protector or much of a defensive presence at the rim … Lazy in his stance. He will often stand straight up when guarding his man … His game is most effective as a stretch five, but at 6’8"" he doesn’t possesses the other skills to make up for his lack of height … Though he scored a lot and from many different spots, he isn’t an efficient scorer … His shot selection wasn’t great in college as he would often force shots over multiple defenders instead of passing to an open teammate … Shot just 33% from 3 on 1.5/4.5 per game, and 38.7 on 2 point jump shots (per hoop-math.com) … When he’s shooting well, he’s deadly but when he’s off he can shoot you out of games. Isn’t considered a knockdown shooter from deep … Was a ball stopper at times for the Friars … Not great at creating shots for himself, most of his offensive looks came off of assists (89% of his 3s and 67% of his 2s) … Post game needs polish …  Doesn’t seem to be comfortable creating off the dribble unless it’s a straight line drive … Isn’t asked to switch into guards on pick-and-roll defense, it will be interesting to see if he has the focus and patience to guard smaller players … An older sophomore at 21, therefore doesn’t appear to have much upside left to develop … Extreme jump in stats a bit of a concern (6.4 ppg to 21.1 ppg) … Surprisingly weighed just 230 at the combine, so will need to add strength …  ",6-8,230,PF,Providence,So.,2016
Tyler Ulis,": A true floor general in every sense of the word … What he lacks in size (listed at 5’9"") he makes up for in sheer effort and heart … Very quick with the ball in his hands … Puts pressure on defenses by pushing the tempo … Can be a one man fast break at times … Pass-first player that looks to get others involved whenever possible … Teammates will love playing with Ulis … Competent shooter from the perimeter … Smooth and compact release that is quick enough to allow him to shoot over bigger defenders … Seems to always be under control and possesses a calm demeanor … An extension of the coach on the court … Very solid grasp of the game and basketball IQ … Can impact the pace and tempo of the game and knows when to change either when necessary … A leader of men … Posseses all the right intangibles … Uses change of pace moves and crossovers well … Very good defender for his size … Quick feet allow him to stay in front and hound ball handlers … Can pressure opposing players for 94 feet … ",": Lack of height and strength limits his ceiling as a prospect … Didn’t shoot a great percentage from the field … Has to work hard to get clean looks at the basket sue to lack of size … Shot got better in his second year at Kentucky, but still a bit of a streaky shooter at this point … Release isn’t the quickest … Needs the ball in his hands to be the most effective … Not a high-level athlete … It will be tough for him to finish at the rim without developing a better in between game … Must show he has the strength to battle against bigger point guards … Just about every player he faces will be able to shoot over the top of him … Has to find and develop a niche as a player to stay in the league … Was listed at 160 lbs in college, but weighed in at only 149 lbs at the NBA Draft Combine … Doesn’t possess elite quickness … Will need to find ways to create separation and space against defenders …  ",5-10,150,PG,Kentucky,So.,2016
Anthony Barber,": Possesses a lightning quick first step and the ability to blow by most defenders. One of the quickest if not the quickest PG on the college level …  Improving jump shot from both inside and outside the arc … Had a 40 made free throws in a row streak during junior year, and is hitting 87% on high volume, a tribute to his vastly improved shooting and dedication … Has become very adept at drawing fouls, hitting over 7.2 per game on 8.3 attempts per game … Quick hands on defense … Evolving into one of the better PGs in the country after struggling with efficiency early on in his career … Decent size and wingspan for the PG position … Great touch around the basket and an above average finisher at this point in his career … Ambidextrous. Great ball handler and can do so with both hands … Becoming a much better floor general and leader as opposed to just a scorer … Has good PG size, being measured at 6’2 with a 6’4 wingspan while in high school …  ",": Body strength remains a concern as he lacks great ability to absorb contact … Gets bumped off of his path/spots and too easily … As a junior, he is still very light so he will probably always be on the thin side … Shot selection can still be an issue at times, though vastly improved … Has a tendency to try to do too much on offense instead of deferring to his teammates when necessary … Mechanics on jump shot aren’t great and his jumper is a little flat … Entry passes to the post aren’t great and doesn’t look there enough, whether naturally or by design … Still doesn’t necessarily make his teammates better all the time as he looks to score before all else … Came in college with some off court concerns but has matured by all accounts …  ",6-3,175,PG,NC State,Jr.,2016
Daniel Hamilton,": Extremely versatile wing player with good size…Hamilton averaged 9 RPG last season as a perimeter player, so he’s very tenacious in crashing the glass…Very willing passer with excellent vision for a player his size.  Hamilton averaged nearly 5 APG and was the set-up man on several alley-oops throughout the year as he drew defenders while driving to the basket, then fed the cutting big man on the baseline … Great finisher and creator in transition…Great size (6’7"") for a perimeter player, especially a potential shooting guard, and solid length (6’9"") wingspan which gives him some potential as a defender … He’s not great at getting to the rim, but he has an arsenal of floaters and turnaround jumpers that, combined with his size, allow him to score in the lane … Excellent FT shooter at 86%…Solid ball-handling at 6’7""… Streaky outside shooter who has the potential to become a very solid threat from behind the arc … Great feel for the game.  Hamilton is an instinctive scorer and passer and this will help him transition to the NBA more smoothly … Really hustles for rebounds and loose balls.  In most facets of the game, Hamilton’s energy level is very high… ",": Hamilton is an incredibly inefficient offensive player.  He shot a mere 42% inside the arc last season and his FG percentage was an abysmal 39% … His shot selection is often questionable in the half court … Lacks the blow by speed or the craftiness to get by his man or all they way to the rim with any consistency …  He often drives into a brick wall and has to throw up a tough shot … Despite his decent length, Hamilton is not  particularly great defender …  His lateral quickness is subpar, his effort appears lax as he’s often standing straight up, and his footwork is often awkward and he has to allow his ballhandler past him … Posted extremely underwhelming numbers at the combine, particularly in the max vertical leap, where his jump was the second-lowest … With his below-average athleticism, he struggles to create his own shot and has to rely on his jumpsuit, which is inconsistent … Extremely skinny.  Packs less than 200 lbs. onto his 6’8"" frame, which will likely cause him to get bullied at the NBA level … Great free throw shooter, but averaged just over 2 attempts per game in college, meaning his opportunities to shine from the line were very limited… ",6-7,200,SG/SF,UConn,So.,2016
Troy Williams,": He’s an athletic wing with a non-stop motor … He plays above the rim and is good for at least one highlight reel above the rim play in every game … He’s a tenacious and versatile defender … He can guard multiple positions … Has gotten stronger and more physical in his three years at Indiana … He excels when he runs the floor and fills the lane … He was a positive teammate on and off the court … Hustles and scraps for every loose ball, never lacking for effort … His midrange shot (10-15 feet) has shown improvement over the last three years … He went from a 20.7% three point shooter his freshman year to 34.7% his junior year … If he understands that it would be in his best interest concentrating on defense and rebounding, he can make an impact on a team … ",": He’s very inconsistent and that’s been for three years … He’s gotten better from three point range, but still inconsistent and happens to take them at the wrong time … Ball handling ability has improved, but is still sloppy, and is the root of his turnover problems …  Can be a little overeager defensively and leave his feet on pump fakes … All though not foul prone, he has a tendency to make bad fouls … Needs to improve his consistency on a game to game basis … Disappeared too much. Nine single digit games and two were a zero and a two point game. That’s too many for a junior with his talent … He needs to play with a better pace, he tends to get out of control very quickly … Sometimes it’s hard for college stars to understand they’re going to be role players in the pros, that question is still in the air for Troy … ",6-7,215,SF,Indiana,Jr.,2016
Paul Zipser,": NBA-ready body … Great size for a wing … Solid wingspan (measured 6’11’’) … Versatile player with the ability to play both forward positions  and occasionally at shooting guard … Plays with good energy in both ends of the floor … Good leaper with either foot … Aggressive when attacking the rim … Can finish above the rim … Shows the ability to knock down shots in catch and shoot as well as in spot up situations … He doesn’t need the ball in his hands to be effective … Good free throw shooter … Solid first step, which helps him attack close outs very well … Can score from inside and outside … Knows how to create mismatches on offence, using his size against smaller players and his quickness against taller players … Moves well without the ball … A good slasher … Very good rebounder for a wing especially on the offensive end … Willing passer … Works hard on defense … Very physical defender with good lateral quickness … Good low stance … Can defend multiple positions due to his size and body built … Great shot blocker for a wing … Team player … ",": Good athlete, but not elite … May be consider a tweener at the next level, mainly because plays a lot at the power forward position in his team … Has limited playing time … Slow shot release … Changes his release when opponents close out at him … Ball handling is average for a wing at the next level … His dribble is too high, making it easy for opponents to strip the ball away … Not effective on pick and roll situations as the ball handler … Shoot off the dribble needs work … Lacks an in between game … Struggles to create his own shoot … Limited in ISO situations… Drives in straight line and can’t change direction … Has problems when attacking the rim against longer players … Streaky shooter … Not really a threat if his shoot isn’t falling … Forces bad passes when he gets double teamed … Lateral quickness has to improve to be able to defend perimeter players at the next level … At times he is too aggressive and energetic on defense, which leads to bad fouls … ",6-8,210,SF,Germany,Intl.,2016
Kahlil Felder,": Hugely athletic small lefty guard with explosive scoring ability and court vision … Scored 20 points or over in 30 out of 35 games during his junior season at Oakland, finished 4th in the nation in scoring at 24.2 ppg … Led the nation in assists per game at 9.3 apg, was 1.2 apg ahead of player who finished next … Had some marquee performances against major conference foes, with 37 points in a double OT loss to Michigan St., 30 points in a loss to Virginia, a team known for its defense and 38 points in a win at Washington … Very good in the open floor, excels in a fast game … Very difficult to defend one-on-one, has some major quickness and blow by ability if you play him too close … Improved in efficiency every year in college, FG% increased a couple percentage points every season … Also became more competent at using the pick-and-roll, always had the ball in his hands quite a bit, but became a lot more patient and excelled in leadership role … Has ability to defend full court and is a bothersome on-ball defender, which is crucial for smaller guards at the NBA level … Was a star of the NBA Draft combine, and while his vertical is likely closer to 41”-42” or so as opposed to the 44” he measured at the combine (measured taller-longer than Nate Robinson, though with 3 inches less standing reach?), still an elite athlete by even NBA standards with some explosive ability, quickness … Averaged 2 spg, with ball pressure and passing lanes both being things he can effect when on the floor … Showed he is a big time competitor, was one of the surprises of the NBA Draft combine scrimmages, went toe-to-toe with big time NCAA PG’s … Jump shot improved, became a better long range shooter each year and improved shot selection … Strong for a small guard, gets vert low and is not an easy person to just bowl over or get position on … Had a 2.7:1 assist-to-turnover ratio, much improved from the year previous … The role of quick guard who can create offense has become valuable, which definitely seems to be a role he can fill … Got to the line at over 8 times per game, shooting near 85% FT as well, was incredibly aggressive driving to the basket … Played huge minutes in college, showed a great level of conditioning and of course gained valuable experience ",": Size will still absolutely be an issue, as much as people point to the success of Isaiah Thomas, their have been countless other small guards relegated to far lesser roles or who have had a difficult time getting rotation minutes … People will also point to his playing in a smaller conference, with a lack of great team success as well … Clearly would have been able to play at a high major school, though of course one would wonder whether he would make close to the same impact … Had trouble finishing consistently in traffic, it will be that much more difficult at the next level … While he is tough on defense, his size will cause him to be a target and will need to prove he can defend shooters or if they will just have an easy target to shoot over … Jump shot still inconsistent, not a knockdown outside shooter and it is unknown how consistent he will be from NBA range … Still did turn the ball over quite a bit and the speed of the NBA game will require him to make better decisions … Had the ball in his hands so often, it will be interesting to see how he adjusts to playing more off of the ball … As great as he is athletically, will have a huge adjustment to going up against NBA level defenders at the PG position … Can definitely work on going to his left and developing the right to left cross … Has to know his spots as a shooter, improve his spot-up game … Did very little off-screens, which will probably continue in NBA, though if he could work better playing off the ball, has speed to make himself an issue ",5-9,175,PG,Oakland,Jr.,2016
Petr Cornelie,": Intriguing size/mobility combination, long arms and legs with remarkable smoothness and quickness in running the floor … He’s really explosive, with a good vertical with solid intimidation and defensive skills, thanks to his timing and instincts … What impresses most about him is his great stamina, and energy showing a blue collar attitude to hustle on both ends of the floor … Most of his points come from second chance opportunities, put backs and offensive rebounds … Furthermore he has shown intriguing potential since he’s also able to hit outside the painted area in spot up situations, with an impressive range (more than 40% from 3 points thus far in the season in ProA) … In a modern basketball era seeking mobility and versatility he could become a valued asset … ",": While a good athlete with size, his skill level and feel for the game are very raw … He’s still skinny and could struggle to battle in the paint … His game is mainly based on facing/crashing the basket, lacking any real post moves … His thin frame sometimes leads to loss of balance when the level of physicality increases … Raw potential, his game is really energetic and instinctive, but he has to polish his skillset, work on fundamentals, positioning and decision making skills … He has to work on the controlled phase of the game, learning how to optimize spacing and timing … Furthermore despite showing intriguing potential his shot needs to add consistency, working on mechanics and to improve from the free throw line (less than 70% thus far in French ProA) … ",6-11,210,PF/C,France,Intl.,2016
Jarrod Uthoff,": Versatile forward who has the length of a 4 but the skillset of a 3.  With a near-7 foot wingspan, Uthoff has incredible length for a perimeter player…Great jump shooter from all parts of the court.  Shot 38% from 3 last season…Solid defender due to his length and instincts.  Perhaps the nation’s best perimeter shot blocker last year, and ended up averaging 2.5 BPG.  Also proved to be disruptive in passing lanes…Smooth finisher who does a decent job of getting to the rim and also creating shots for himself in the mid-range…Great fadeaway jumper that he used with great success when he was unable to get better looks…Very efficient.  Very limited number of turnovers and bad shots…For his size, Uthoff is a very good ballhandler…Also shows good passing ability for a player his size…Solid athlete who can finish above the rim from time to time…Can create matchups problems when guarded by a traditional power forward on the outside, or when he gets the opportunity to post up on a traditional small forward…Crafty veteran player who finds a variety of ways to score…Very solid free throw shooter at 82%…Veteran prospect at age 23 who should come in and make an impact right away… ",": Not quite quick or strong enough to take the ball to the hoop on NBA defenders…lacks of great foot speed and explodiveness limits his ability to utilize his ball skills…Thin frame, may get pushed off the block easily…Not strong enough to guard a 4 and lacks the lateral quickness to stay in front of most NBA small forwards…Reliant on tough shots to score.  His “junk baskets” will be a lot more limited against NBA size inside…Already 23 years old, Uthoff is about as developed as he’ll ever be as a prospect…Not an incredibly comfortable or effective ballhandler for someone who will end up mostly playing on the perimeter…Lacks much of a post game… ",6-10,215,PF,Iowa,Sr.,2016
